Tracking Number,Sent,Origin city (original),Origin city (used),Origin country,Origin Lat,Origin Long,Received,Destination city (original),Destination (used),Destination country,Destination Lat,Destination Long
655674659466,05/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/04/2016,REYKJAVIK,REYKJAVIK,IS,64.13548,-21.89541
655674659709,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/04/2016,HONG KONG,HONG KONG,HK,22.28552,114.15769
655674659569,06/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,GDYNIA,GDYNIA,PL,54.51889,18.53188
655674659525,05/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,08/04/2016,GENT,GENT,BE,51.05,3.71667
655674659628,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,13/04/2016,OSAKA,OSAKA,JP,34.69374,135.50218
655674659606,06/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,15/04/2016,LAUTOKA,LAUTOKA,FJ,-17.61686,177.45049
655674659580,06/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,TEXAS,"WASHINGTON, D.C.",US,38.89511,-77.03637
655674659764,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,DUBLIN,DUBLIN,IE,53.33306,-6.24889
655674659694,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/04/2016,VABAEK,COPENHAGEN,DK,55.67594,12.56553
655674659720,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,13/04/2016,TALLINN,TALLINN,EE,59.43696,24.75353
655674659904,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,14/04/2016,OJO LAGOS,ABUJA,NG,9.05785,7.49508
655674659683,07/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/04/2016,ROTTERDAM,ROTTERDAM,NL,51.9225,4.47917
655674659867,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,13/04/2016,LE HAVRE,LE HAVRE,FR,49.4938,0.10767
655674659320,04/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,ELERMORE VALE,ELERMORE VALE,AU,-32.91621,151.67665
655674659786,08/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,BATON ROUGE,BATON ROUGE,US,30.45075,-91.15455
655674659834,08/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,12/04/2016,KARACHI,KARACHI,PK,24.9056,67.0822
655674659890,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,14/04/2016,SINGAPORE,SINGAPORE,SG,1.28967,103.85007
665600163832,07/04/2016,HANGZHOU,HANGZHOU,CN,30.29365,120.16142,11/04/2016,UNITED KINGDOM,LONDON,GB,51.50853,-0.12574
776071292323,11/04/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,15/04/2016,SINGAPORE,SINGAPORE,SG,1.28967,103.85007
776047474266,06/04/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,12/04/2016,HANGZHOU,HANGZHOU,CN,30.29365,120.16142
665600163898,11/04/2016,HANGZHOU,HANGZHOU,CN,30.29365,120.16142,14/04/2016,UNITED KINGDOM,LONDON,GB,51.50853,-0.12574
782790291680,08/04/2016,POMONA,POMONA,US,39.47845,-74.57516,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
776093402781,13/04/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,14/04/2016,TABY,TABY,SE,59.4439,18.06872
776092349931,13/04/2016,OXFORD,OXFORD,GB,45.73345,-63.86542,15/04/2016,SHANGHAI,SHANGHAI,CN,31.22222,121.45806
782789763040,08/04/2016,POMONA,POMONA,US,39.47845,-74.57516,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
782750568003,05/04/2016,PORTSMOUTH,PORTSMOUTH,US,15.58333,-61.46667,14/04/2016,PENCOED BRIDGEND,LONDON,GB,51.50853,-0.12574
782789395582,08/04/2016,POMONA,POMONA,US,39.47845,-74.57516,11/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016
655674659433,05/04/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,11/04/2016,CADIZ,CADIZ,ES,36.52978,-6.29465
655674663377,06/05/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,14/05/2016,MAMBAI 53,NEW DELHI,IN,28.63576,77.22445
655674669618,29/06/2016,PENCOED,PENCOED,GB,51.52371,-3.50016,04/07/2016,RICHMOND,RICHMOND,CA,-37.81819,145.00176
